X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_SUBTYPE
-13635620.2733497,4542834.70400834,5918,1222329131,GRACE INFANT CARE CENTER,3201 ULLOA STREET,SAN FRANCISCO,CA,94116,NOT AVAILABLE,(415) 681-6606,CENTER BASED,OPEN,15,SAN FRANCISCO,06075,USA,37.740521,-122.490861,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13634191.9329633,4540064.72195825,5920,1222329132,ASSOCIATED STUDENTS CHILDREN'S CENTER - INFANT,1650 HOLLOWAY AVENUE,SAN FRANCISCO,CA,94132,NOT AVAILABLE,(415) 338-2403,CENTER BASED,OPEN,40,SAN FRANCISCO,06075,USA,37.720841,-122.47803,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13627999.2296905,4544145.21273721,5921,1222252776,KATHERINE MICHIELS SCHOOL,1335 GUERRERO STREET,SAN FRANCISCO,CA,94110,NOT AVAILABLE,(415) 821-0130,CENTER BASED,OPEN,15,SAN FRANCISCO,06075,USA,37.74983,-122.4224,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2020/05/20 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13626503.0957342,4544267.69861162,6024,1222329180,FAMILY DEVELOPMENTAL CENTER (INFANT),2730 BRYANT STREET,SAN FRANCISCO,CA,94110,NOT AVAILABLE,(415) 282-1090,CENTER BASED,OPEN,95,SAN FRANCISCO,06075,USA,37.7507,-122.40896,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,GEOCODE,2022/06/02 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13630014.1124738,4543446.92997088,6045,1222271992,ST. NICHOLAS DAY CARE AND PRESCHOOL - INFANT,5200 DIAMOND HEIGHTS BLVD.,SAN FRANCISCO,CA,94131,NOT AVAILABLE,(415) 550-1536,CENTER BASED,OPEN,39,SAN FRANCISCO,06075,USA,37.74487,-122.4405,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2020/05/15 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13628077.153334,4547507.76172921,6155,1222315793,HELEN HAWK CHILDREN'S CTR - COMPASS FAM SRVS INFANT,111 PAGE STREET,SAN FRANCISCO,CA,94102,NOT AVAILABLE,(415) 863-0681,CENTER BASED,OPEN,8,SAN FRANCISCO,06075,USA,37.77371,-122.4231,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2020/03/24 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13625902.0818034,4550195.34295002,6186,1222329235,BRIGHT HORIZONS SAN FRANCISCO CALIFORNIA ST - INFANT,555 CALIFORNIA STREET,SAN FRANCISCO,CA,94104,NOT AVAILABLE,(415) 392-7531,CENTER BASED,OPEN,10,SAN FRANCISCO,06075,USA,37.792791,-122.403561,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13625607.8643892,4548713.36195233,6306,1222327315,YERBA BUENA GARDENS CHILD DEV CTR,790 FOLSOM STREET,SAN FRANCISCO,CA,94107,NOT AVAILABLE,(415) 820-3500,CENTER BASED,OPEN,24,SAN FRANCISCO,06075,USA,37.78227,-122.400918,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY,2020/10/08 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13632310.7448884,4551039.04372439,6314,1222329289,SFUSD - PRESIDIO (EES) INFANT / TODDLER,387 MORAGA AVE,SAN FRANCISCO,CA,94129,NOT AVAILABLE,(415) 561-5822,CENTER BASED,OPEN,30,SAN FRANCISCO,06075,USA,37.79878,-122.461131,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2022/06/02 00:00:00+00,NOT AVAILABLE,INFANT CENTER
-13629257.1399364,4548595.04921055,6320,1222261400,MONTESSORI SCHOOL OF THE BAY AREA INC. - INFANT,1550 EDDY STREET,SAN FRANCISCO,CA,94115,NOT AVAILABLE,(415) 292-7970,CENTER BASED,OPEN,18,SAN FRANCISCO,06075,USA,37.78143,-122.4337,624410,CHILD DAY CARE CENTERS,https://data.chhs.ca.gov/dataset/bc819981-be52-4011-b3e5-b3fd09d4ea87/resource/cdf6928f-7cbe-49e8-b415-5422b357cfd3/download/ccl_locations_cc.csv,2022/05/17 00:00:00+00,IMAGERY/OTHER,2019/12/20 00:00:00+00,NOT AVAILABLE,INFANT CENTER
