id,name,created_at,updated_at
1,Alabama A & M University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
2,University of Alabama at Birmingham,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
3,Amridge University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
4,University of Alabama in Huntsville,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
5,Alabama State University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
6,University of Alabama System Office,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
7,The University of Alabama,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
8,Central Alabama Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
9,Athens State University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
10,Auburn University at Montgomery,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
11,Auburn University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
12,Birmingham Southern College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
13,Chattahoochee Valley Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
14,Concordia College Alabama,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
15,South University-Montgomery,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
16,Enterprise State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
17,James H Faulkner State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
18,Faulkner University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
19,Gadsden State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
20,New Beginning College of Cosmetology,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
21,George C Wallace State Community College-Dothan,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
22,George C Wallace State Community College-Hanceville,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
23,George C Wallace State Community College-Selma,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
24,Herzing University-Birmingham,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
25,Huntingdon College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
26,Heritage Christian University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
27,J F Drake State Community and Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
28,J F Ingram State Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
29,Jacksonville State University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
30,Jefferson Davis Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
31,Jefferson State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
32,John C Calhoun State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
33,Judson College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
34,Lawson State Community College-Birmingham Campus,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
35,University of West Alabama,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
36,Lurleen B Wallace Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
37,Marion Military Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
38,Miles College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
39,University of Mobile,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
40,University of Montevallo,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
41,Northwest-Shoals Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
42,University of North Alabama,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
43,Northeast Alabama Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
44,Oakwood University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
45,Alabama Southern Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
46,Prince Institute-Southeast,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
47,Reid State Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
48,Bishop State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
49,Samford University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
50,Selma University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
51,Shelton State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
52,Snead State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
53,University of South Alabama,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
54,Spring Hill College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
55,Southeastern Bible College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
56,Stillman College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
57,Talladega College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
58,H Councill Trenholm State Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
59,Troy University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
60,Tuskegee University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
61,United States Sports Academy,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
62,Bevill State Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
63,University of Alaska Anchorage,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
64,Alaska Bible College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
65,University of Alaska Fairbanks,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
66,University of Alaska Southeast,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
67,Alaska Pacific University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
68,AVTEC-Alaska's Institute of Technology,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
69,Charter College-Anchorage,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
70,Prince William Sound Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
71,Alaska Career College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
72,University of Alaska System of Higher Education,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
73,Everest College-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
74,Collins College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
75,Empire Beauty School-Paradise Valley,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
76,Empire Beauty School-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
77,Thunderbird School of Global Management,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
78,American Indian College of the Assemblies of God Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
79,American Institute of Technology,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
80,Carrington College-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
81,Carrington College-Mesa,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
82,Carrington College-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
83,College America-Flagstaff,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
84,Arizona Academy of Beauty-East,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
85,Arizona Automotive Institute,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
86,Brookline College-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
87,Arizona State University-Tempe,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
88,Arizona Western College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
89,University of Arizona,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
90,Southwest University of Visual Arts-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
91,Brillare Hairdressing Academy,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
92,Central Arizona College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
93,Brown Mackie College-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
94,Charles of Italy Beauty College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
95,Cochise College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
96,Empire Beauty School-Flagstaff,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
97,Empire Beauty School-Chandler,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
98,Cortiva Institute-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
99,DeVry University-Arizona,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
100,Avalon School of Cosmetology-Mesa,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
101,Eastern Arizona College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
102,Embry-Riddle Aeronautical University-Prescott,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
103,Frank Lloyd Wright School of Architecture,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
104,Glendale Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
105,Grand Canyon University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
106,Anthem College-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
107,International Academy of Hair Design,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
108,Kaplan College-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
109,Maricopa Community College System Office,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
110,GateWay Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
111,Mesa Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
112,ITT Technical Institute-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
113,ITT Technical Institute-Tempe,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
114,Mohave Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
115,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
116,Dine College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
117,Northern Arizona University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
118,Northland Pioneer College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
119,Ottawa University-Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
120,Phoenix College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
121,Cortiva Institute-Scottsdale,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
122,University of Phoenix-Phoenix Campus,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
123,Pima Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
124,Pima Medical Institute-Tucson,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
125,Pima Medical Institute-Albuquerque,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
126,Prescott College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
127,Refrigeration School Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
128,Rio Salado College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
129,Roberto-Venn School of Luthiery,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
